pd_id,ad_id,coder,adsponsortype,row,RecordedDate,NOCODE,NOCODE_TXT,TEXT,VIDEO,IMAGE,LINK,ADREMOVED,NODISCLAIMER,OFFICE1,CAND1,FECID1,TONE1,OFFICE2,CAND2,FECID2,TONE2,OFFICE3,CAND3,FECID3,TONE3,OFFICE4,CAND4,FECID4,TONE4,OFFICE5,CAND5,FECID5,TONE5,OFFICE6,CAND6,FECID6,TONE6,OFFICE7,CAND7,FECID7,TONE7,OFFICE8,CAND8,FECID8,TONE8,MORETHAN8,MORETHAN8_TXT,candnumber,othercand1_mnt,othercand1_pic,othercand1_audio,othercand1_ocr,othercand1_txt,othercand2_mnt,othercand2_pic,othercand2_audio,othercand2_ocr,othercand2_txt,othercand3_mnt,othercand3_pic,othercand3_audio,othercand3_ocr,othercand3_txt,othercand4_mnt,othercand4_pic,othercand4_audio,othercand4_ocr,othercand4_txt,othercand5_mnt,othercand5_pic,othercand5_audio,othercand5_ocr,othercand5_txt,DEMMT,GOPMT,FAVORED,MULTI_FAV,TARGETED,MULTI_TGT,NOCAND,FAV1,FAV2,FAV3,FAV4,FAV5,FAV6,FAV7,FAV8,TGT1,TGT2,TGT3,TGT4,TGT5,TGT6,TGT7,TGT8,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE,MENTION1,MENTION33,MENTION3,MENTION4,MENTION5,MENTION6,MENTION7,MENTION8,MENTION15,MENTION16,MENTION17,MENTION19,MENTION21,MENTION23,MENTIONCOMM,MENTIONNEIGH,MENTIONTOGETH,MENTION18,MENTION26,MENTIONWC,MENTIONMC,MENTIONUC,TOC_DRUGS,TOC_ECON,TOC_EDU,TOC_ENVT,TOC_ETHICS,TOC_FOREIGN,TOC_HEALTH,TOC_LAW,TOC_SOCIAL,TOC_OTHER,ISSUE210,ISSUE41,ISSUE54,ISSUE106,ISSUE44,ISSUE33,ISSUE22,ISSUE10,ISSUE11,ISSUE12,ISSUE13,ISSUE20,ISSUE18,ISSUE16,ISSUE217,ISSUE17,ISSUE14,ISSUE215,ISSUE23,ISSUE19,ISSUE15,ISSUE21,ISSUE24,ISSUE50,ISSUE51,ISSUE52,ISSUE80,ISSUE82,ISSUE113,ISSUE83,ISSUE84,ISSUE90,ISSUE91,ISSUE92,ISSUE60,ISSUE61,ISSUE62,ISSUE63,ISSUE64,ISSUE68,ISSUE69,ISSUE66,ISSUE67,ISSUE70,ISSUE71,ISSUE72,ISSUE73,ISSUE74,ISSUE75,ISSUE76,ISSUE65,ISSUE114,ISSUE53,ISSUE59,ISSUE58,ISSUE55,ISSUE110,ISSUE218,ISSUE219,ISSUE220,ISSUE208,ISSUE105,ISSUE116,ISSUE117,ISSUE209,ISSUE40,ISSUE45,ISSUE43,ISSUE42,ISSUE212,ISSUE221,ISSUE200,ISSUE95,ISSUE109,ISSUE30,ISSUE32,ISSUE37,GUNPIC,ISSUE108,ISSUE102,ISSUE56,ISSUE57,ISSUE112,ISSUE31,ISSUE101,ISSUE38,ISSUE39,ISSUE34,ISSUE35,ISSUE36,ISSUE107,ISSUE93,ISSUE111,ISSUE94,ISSUE96,ISSUE98,ISSUE99,ISSUE103,ISSUE104,ISSUE118,ISSUE97,ISSUE97_TXT,CAND1_pic,CAND1_pic_tone,CAND2_pic,CAND2_pic_tone,CAND3_pic,CAND3_pic_tone,CAND4_pic,CAND4_pic_tone,CAND5_pic,CAND5_pic_tone,CAND6_pic,CAND6_pic_tone,CAND7_pic,CAND7_pic_tone,CAND8_pic,CAND8_pic_tone,pic_face,pic_color,pic_otherpeople,pic_oth,pic_oth_txt,PAGENAME_INFO,PAGENAME_INFO_TXT,OTHERNOTES,OTHERNOTES_TXT,PROB_VID_NOCODE,PROB_VID_PARTIAL,PROB_DONTUSE,PROB_SPANISH,PROB_OTH,PROB_QUEST,PROB_OTH_TXT,PROB_QUEST_TXT,NOMINATE,NOMINATE_TXT,page_id,funding_entity,fbcodingset,rec_num,page_name,page_name_url,wmp_office_post090120,wmp_spontype,sponsor_name
pd-110124618713-2,x_1275616469440351,achampeau@wesleyan.edu,"non-cd, non-party",1299,22 Aug 21,, ,Text,Video(s),,Link(s),,,President,Joe Biden,P80000722,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,"Yes, in a way to show disapproval or opposition",No,,,One targeted candidate,,,,,,,,,,,Joe Biden,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGBTQ Issues/Rights,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110124618713,AMERICAN PRINCIPLES PROJECT PAC,Set of 3K non-cd ads,1437,,https://www.facebook.com/110124618713,,group,AMERICAN PRINCIPLES PROJECT PAC
pd-110124618713-2,x_1010404262706436,swoodhams@wesleyan.edu,"non-cd, non-party",2106,20 Sep 21,, ,Text,Video(s),,Link(s),,"""Ad ran without a disclaimer""",President,Joe Biden,P80000722,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Joe Biden,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Education/Child Care/Family Leave,,,,,,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Civil Rights/Racial Discrimination,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110124618713,AMERICAN PRINCIPLES PROJECT PAC,Set of 3K non-cd ads,1989,,https://www.facebook.com/110124618713,,group,AMERICAN PRINCIPLES PROJECT PAC
pd-110124618713-2,x_1186941815011202,achampeau@wesleyan.edu,"non-cd, non-party",2981,17 Oct 21,, ,Text,Video(s),,,,,President,Joe Biden,P80000722,In a way to show disaproval or opposition,Other national politician,Kamala Harris,WMPID2,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Joe Biden,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGBTQ Issues/Rights,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110124618713,AMERICAN PRINCIPLES PROJECT PAC,Set of 3K non-cd ads,1526,,https://www.facebook.com/110124618713,,group,AMERICAN PRINCIPLES PROJECT PAC
pd-110124618713-2,x_1082238125528685,zcabrerahern@wesleyan.edu,"non-cd, non-party",493,11 Aug 21,Unable to view any part of the ad,Disclaimer doesn't follow FB Advertising Policies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,0,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110124618713,AMERICAN PRINCIPLES PROJECT PAC,Set of 3K non-cd ads,514,,https://www.facebook.com/110124618713,,group,AMERICAN PRINCIPLES PROJECT PAC
pd-110124618713-2,x_1021109358406617,achampeau@wesleyan.edu,"non-cd, non-party",2251,26 Sep 21,, ,Text,Video(s),,Link(s),,,President,Joe Biden,P80000722,In a way to show disaproval or opposition,,,,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,"Yes, in a way to show disapproval or opposition",No,,,One targeted candidate,,,,,,,,,,,Joe Biden,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGBTQ Issues/Rights,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110124618713,AMERICAN PRINCIPLES PROJECT PAC,Set of 3K non-cd ads,1859,,https://www.facebook.com/110124618713,,group,AMERICAN PRINCIPLES PROJECT PAC
pd-110124618713-2,x_1690082884483522,achampeau@wesleyan.edu,"non-cd, non-party",1621,29 Aug 21,, ,Text,Video(s),,Link(s),,,President,Joe Biden,P80000722,In a way to show disaproval or opposition,U.S. Senate,Gary Peters,S4MI00355,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,,Multiple targeted candidates,,,,,,,,,,Joe Biden,Gary Peters,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Education/Child Care/Family Leave,,,,,Law & Order,Social/Social Welfare Issues,"Other/Miscellaneous
(includes: Term Limits, Pledge of Allegiance, Local Issues,",,,,,,,,,,,,,,,,,,,,,,,,Education/Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Police/police brutality/Racial Violence,Protests/riots,,,,,,,,,,,,,,,,Civil Rights/Racial Discrimination,,,,,,,,,,,,,Socialism,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110124618713,AMERICAN PRINCIPLES PROJECT PAC,Set of 3K non-cd ads,1504,,https://www.facebook.com/110124618713,,group,AMERICAN PRINCIPLES PROJECT PAC
pd-110124618713-2,x_1048095362308893,tzarobell@wesleyan.edu,"non-cd, non-party",3530,22 Nov 21,, ,Text,Video(s),,Link(s),,,President,Joe Biden,P80000722,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,"Yes, in a way to show disapproval or opposition",No,,,One targeted candidate,,,,,,,,,,,Joe Biden,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,Community,,,,,,,,,,,,,,,Law & Order,Social/Social Welfare Issues,"Other/Miscellaneous
(includes: Term Limits, Pledge of Allegiance, Local Issues,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Police/police brutality/Racial Violence,Protests/riots,,,,,,,,,,,,,,,,Civil Rights/Racial Discrimination,,,,,,,,,,,,,Socialism,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110124618713,AMERICAN PRINCIPLES PROJECT PAC,Set of 3K non-cd ads,2980,,https://www.facebook.com/110124618713,,group,AMERICAN PRINCIPLES PROJECT PAC
pd-110239177250087-4,x_4270932399647738,tzarobell@wesleyan.edu,"non-cd, non-party",4128,20 Dec 21,, ,Text,,Still images(s),Link(s),,,U.S. Senate,John James,S8MI00372,In a way to show disaproval or opposition,President,Donald Trump,P80001571,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,John James,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,John James,In a way to show disaproval or opposition,Donald Trump,In a way to show disaproval or opposition,,,,,,,,,,,,,"Facial expressions (angry, sad, yelling, etc.)",Color (black and white/gray),,, ,No, ,, ,,,,,,, , ,, ,x_110239177250087,FAMILY FRIENDLY ACTION PAC,Set of 3K non-cd ads,2841,,https://www.facebook.com/110239177250087,,group,FAMILY FRIENDLY ACTION PAC
pd-110239177250087-4,x_338246057275941,mchurch@wesleyan.edu,"non-cd, non-party",2272,26 Sep 21,, ,Text,Video(s),,Link(s),,,U.S. Senate,Gary Peters,S4MI00355,In a way to show approval or support,U.S. Senate,John James,S8MI00372,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,One targeted candidate,,,Gary Peters,,,,,,,,,John James,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,Drugs/Drug Abuse/Prescription Drugs,Economic Policy,,,,,Health/Healthcare,,,,,,Prescription Drugs,,,,,,,,,,Employment / Jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Care (not prescription drugs),,,,,Medical Bills,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110239177250087,FAMILY FRIENDLY ACTION PAC,Set of 3K non-cd ads,1965,,https://www.facebook.com/110239177250087,,group,FAMILY FRIENDLY ACTION PAC
pd-110239177250087-4,x_2843242575912497,mchurch@wesleyan.edu,"non-cd, non-party",1120,22 Aug 21,, ,Text,Video(s),,Link(s),,,U.S. Senate,John James,S8MI00372,In a way to show disaproval or opposition,U.S. Senate,Gary Peters,S4MI00355,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,One targeted candidate,,,,Gary Peters,,,,,,,John James,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,Drugs/Drug Abuse/Prescription Drugs,,,,,,Health/Healthcare,,,,,,Prescription Drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Care (not prescription drugs),,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110239177250087,FAMILY FRIENDLY ACTION PAC,Set of 3K non-cd ads,1128,,https://www.facebook.com/110239177250087,,group,FAMILY FRIENDLY ACTION PAC
pd-110239177250087-4,x_1031707863944417,mchurch@wesleyan.edu,"non-cd, non-party",3124,30 Oct 21,, ,Text,Video(s),,Link(s),,,U.S. Senate,John James,S8MI00372,In a way to show disaproval or opposition,U.S. Senate,Gary Peters,S4MI00355,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,One targeted candidate,,,,Gary Peters,,,,,,,John James,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,Drugs/Drug Abuse/Prescription Drugs,,Education/Child Care/Family Leave,,,,Health/Healthcare,,,,,,Prescription Drugs,,,,,,,,,,,,,,,,,,,,,,,Child Care/Family Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Care (not prescription drugs),,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110239177250087,FAMILY FRIENDLY ACTION PAC,Set of 3K non-cd ads,1926,,https://www.facebook.com/110239177250087,,group,FAMILY FRIENDLY ACTION PAC
pd-110316380149-1,x_1616708031841871,mchurch@wesleyan.edu,"non-cd, non-party",672,15 Aug 21,, ,Text,Video(s),,Link(s),,,U.S. Senate,Jaime Harrison,S0SC00289,In a way to show disaproval or opposition,President,Joe Biden,P80000722,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,,Multiple targeted candidates,,,,,,,,,,Jaime Harrison,Joe Biden,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGBTQ Issues/Rights,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110316380149,Family Policy Alliance,Set of 3K non-cd ads,555,,https://www.facebook.com/110316380149,,group,FAMILY POLICY ALLIANCE
pd-110319934088937-1,x_3181285835313045,mchurch@wesleyan.edu,candidate,4740,12 Jan 22,, ,Text,,Still images(s),Link(s),,,President,Donald Trump,P80001571,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,"Yes, in a way to show disapproval or opposition",No,,,,,No favored or targeted candidate,,,,,,,,,,,,,,,,,Request for donations,,,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,,Volunteers for Argall,Set of 1K candidate ads,10444,David Argall,https://www.facebook.com/,down ballot,campaign,"ARGALL, DAVID G"
pd-110339484041212-1,x_652074302411156,achampeau@wesleyan.edu,"non-cd, non-party",1259,22 Aug 21,, ,Text,Video(s),,Link(s),"""Ad violates FB's advertising polciies""",,President,Joe Biden,P80000722,In a way to show approval or support,Other national politician,Kamala Harris,WMPID2,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Joe Biden,,,,,,,,,,,,,,,,,,,GOTV efforts (get out the vote),,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health/Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110339484041212,ProgressNow AZ,Set of 3K non-cd ads,1400,,https://www.facebook.com/110339484041212,,group,PROGRESSNOW AZ
pd-110339484041212-1,x_347329676580304,zcabrerahern@wesleyan.edu,"non-cd, non-party",2874,12 Oct 21,, ,Text,,Still images(s),Link(s),,,President,Donald Trump,P80001571,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Donald Trump,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health/Healthcare,,,"Other/Miscellaneous
(includes: Term Limits, Pledge of Allegiance, Local Issues,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emergency Preparedness/Response,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110339484041212,ProgressNow AZ,Set of 3K non-cd ads,2394,,https://www.facebook.com/110339484041212,,group,PROGRESSNOW AZ
pd-110357190488361-2,x_357267495544695,achampeau@wesleyan.edu,candidate,3906,05 Dec 21,, ,Text,Video(s),,Link(s),,,Down-ballot candidate/governor,Down-ballot candidate/governor,,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,Mentioned in text of the ad,Pictured in image or video,,Mentioned in on-screen text of video or image,Joanna Bryn Smith,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,Community,,,,,,,,,Economic Policy,Education/Child Care/Family Leave,,,,,,,,,,,,,,,,,Government Spending,,,Employment / Jobs,,,,,,,,,,,Education/Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,,The People for Joanna Bryn Smith,Set of 1K candidate ads,10226,The People for Joanna Bryn Smith,https://www.facebook.com/,down ballot,campaign,"SMITH, JOANNA BRYN"
pd-110362460695237-1,x_673678960222289,tzarobell@wesleyan.edu,candidate,4385,29 Dec 21,, ,Text,Video(s),,Link(s),,,Down-ballot candidate/governor,Down-ballot candidate/governor,,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,Mentioned in audio of video,Mentioned in on-screen text of video or image,David Michael Williams,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral/Family/Religious Values,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,,"David Michael Williams For District Judge, Division F",Set of 1K candidate ads,10632,"David Michael Williams for District 9 Judge, Division F",https://www.facebook.com/,down ballot,campaign,"WILLIAMS, DAVID MICHAEL"
pd-110362460695237-1,x_705542123392219,tzarobell@wesleyan.edu,candidate,4677,10 Jan 22,, ,Text,Video(s),,Link(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,0,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,,"David Michael Williams For District Judge, Division F",Set of 1K candidate ads,10864,"David Michael Williams for District 9 Judge, Division F",https://www.facebook.com/,down ballot,campaign,"WILLIAMS, DAVID MICHAEL"
pd-110362460695237-1,x_1066394903786302,mchurch@wesleyan.edu,candidate,4724,12 Jan 22,, ,Text,Video(s),,Link(s),,,Down-ballot candidate/governor,Down-ballot candidate/governor,,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,Mentioned in text of the ad,Pictured in image or video,Mentioned in audio of video,Mentioned in on-screen text of video or image,David Michael Williams,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,Community,,,,,,,,,Economic Policy,,,,,,Law & Order,,,,,,,,,Economy (generic reference),,,,,,,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime,Incarceration/Sentencing,Supreme Court/Judiciary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,,"David Michael Williams For District Judge, Division F",Set of 1K candidate ads,10460,"David Michael Williams for District 9 Judge, Division F",https://www.facebook.com/,down ballot,campaign,"WILLIAMS, DAVID MICHAEL"
pd-110622630663443-1,x_1031340427337622,achampeau@wesleyan.edu,"non-cd, non-party",7,26 Jul 21,, ,Text,Video(s),,Link(s),,,U.S. Senate,Joni Ernst,S4IA00129,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Joni Ernst,,,,,,,,,,,,,,,,,,,GOTV efforts (get out the vote),,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_110622630663443,Priorities for Iowa Political Fund,Set of 3K non-cd ads,7,,https://www.facebook.com/110622630663443,,group,PRIORITIES FOR IOWA POLITICAL FUND
pd-110722294126430-1,x_343130630234611,mchurch@wesleyan.edu,"non-cd, non-party",2826,10 Oct 21,, ,Text,,Still images(s),Link(s),,,U.S. House,Susan Wild,H8PA15229,In a way to show disaproval or opposition,U.S. House,Alexandria Ocasio-Cortez,H8NY15148,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Susan Wild,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health/Healthcare,,,"Other/Miscellaneous
(includes: Term Limits, Pledge of Allegiance, Local Issues,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Care (not prescription drugs),,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socialism,Other,Insurance,Susan Wild,In a way to show disaproval or opposition,Alexandria Ocasio-Cortez,In a way to show disaproval or opposition,,,,,,,,,,,,,"Facial expressions (angry, sad, yelling, etc.)",,,, ,No, ,, ,,,,,,, , ,, ,x_110722294126430,Defend The Lehigh Valley PAC,Set of 3K non-cd ads,2324,,https://www.facebook.com/110722294126430,,group,DEFEND THE LEHIGH VALLEY PAC
