advertiser_id,advertiser_namex,advertiser_name,public_ids_list,date_wmpcoded,search_status,sponsor_name,sponsor_cmag,wmp_spontype,wmp_govtorcand,wmp_grouptype,wmp_groupflag,wmp_multisponsor,wmp_office,ontv2022,cand_fav,wmpid,sen_fecid,sen_cycle,sen_state,sen_party,sen_cdstatus,hse_fecid,hse_cycle,hse_state,hse_district,hse_party,hse_cdstatus,db_state,wmp_sen,wmp_hse,wmp_gov,wmp_db,type_cmag,type_scsp,wmptempid,wmp_spontype_new,search_status_new,party_all_new,regions,elections,party_all,Party_abbrev,wmp_notes,advertiser_namey,COMMID,EIN,Committee_Name,Jurisdiction,per_Website,com_Website,R_type,N_type,FirstLast,Prefix,Firstname,MiddleName,Lastname,Suffix,Party_Name,disclose,vw_pt,advertiser_name63,s_09042022to111122,s_011021to111222,codedbywmp,onlycodedbyOS,onlyingooglespend,updated_011725,unmatchedv2,cand_id,notes,matchto_adidmap,old_name,new_name,matchto_oldadidmap,source,cmag_sponsor,wmp_candidate,cmte_id,cmte_nm,advertiser_id_tomerge,advertiser_ids
AR17371484408267145217,NA,Asset Marketing Services LLC,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Asset Marketing Services LLC,100,100,,,1,1,,,,Master only (1),,,Master only (1),,,,,,AR17371484408267145217,AR17371484408267145217
AR17375362763735433217,FRIENDS OF MIKE LEE INC,FRIENDS OF MIKE LEE INC,FEC ID C00473827,02sep2022,1,"LEE, MIKE","LEE, MIKE",campaign,1,NA,0,0,us senate,NA,NA,WMPID1445,S0UT00165,NA,UT,REP,INCUMBENT,,NA,NA,NA,,NA,NA,1,0,0,0,0,0,280,NA,NA,,NA,NA,REP,REP,,FRIENDS OF MIKE LEE INC,C00473827,NA,Friends Of Mike Lee Inc,US,https://www.fec.gov/data/candidate/S0UT00165/?cycle=2020&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00473827,Senate,Candidate,NA,NA,Mike,NA,Lee,NA,Republican,NA,NA,FRIENDS OF MIKE LEE INC,260200,318100,1,,,,,S0UT00165,,Matched (3),,,Master only (1),,,,,,AR17375362763735433217,AR17375362763735433217|AR518134684106883072
AR17377992726829596673,NA,CTE Michael W. Griffin to the INDIANA STATE SENATE District 1,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,CTE Michael W. Griffin to the INDIANA STATE SENATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CTE Michael W. Griffin to the INDIANA STATE SENATE District 1,5300,5300,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17377992726829596673,AR17377992726829596673
AR17378886698502455297,McGuire for State Representative,McGuire for State Representative,EIN ID 87-4330054,31oct2022,NA,MCGUIRE FOR STATE REPRESENTATIVE,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,1,0,0,2833,campaign,NA,,US,NA,,,,McGuire for State Representative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,McGuire for State Representative,0,4000,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR17378886698502455297,AR17378886698502455297|AR369562728727052288
AR17379662403955851265,Parrott for Congress,PARROTT FOR CONGRESS,FEC ID C00691931,13sep2022,1,"PARROTT, NEIL CONRAD","PARROTT, NEIL",campaign,1,NA,0,0,us house,NA,"PARROTT, NEIL CONRAD",WMPID322,,NA,NA,,NA,H0MD06231,NA,MD,6,REP,CHALLENGER,NA,0,1,0,NA,0,0,701,NA,NA,,NA,NA,REP,REP,,Parrott for Congress,C00691931,NA,Parrott for Congress,US,https://www.fec.gov/data/candidate/H0MD06231/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00691931,House,Candidate,NA,NA,Neil,NA,Parrott,NA,Republican,NA,NA,PARROTT FOR CONGRESS,2300,6500,1,,,,,H0MD06231,,Master only (1),,,Master only (1),,,,C00691931,PARROTT FOR CONGRESS,AR17379662403955851265,AR17379662403955851265
AR17379866363362803713,RESTORATION ACTION,RESTORATION ACTION,NA,02sep2022,1,RESTORATION ACTION INC.,RESTORATION ACTION INC.,group,0,NA,1,0,,1,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,0,1,0,140,NA,NA,,NA,NA,REP,,,RESTORATION ACTION,NA,472862042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,RESTORATION ACTION,0,45000,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR17379866363362803713,AR17379866363362803713|AR400128808381841408
AR17379927042660761601,NA,Friends of Lance Yednock,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,DEM,,,Friends of Lance Yednock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Friends of Lance Yednock,12000,12000,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17379927042660761601,AR17379927042660761601
AR17381233262474559489,NA,Legal Missouri 2022,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,ballot measure,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Legal Missouri 2022,NA,NA,Legal Missouri 2022,MO,NA,NA,NA,Ballot,NA,NA,NA,NA,NA,NA,,NA,NA,Legal Missouri 2022,36300,36300,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17381233262474559489,AR17381233262474559489
AR17382466914520924161,NA,Friends for Michael Young NE,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Friends for Michael Young NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Friends for Michael Young NE,1500,1500,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17382466914520924161,AR17382466914520924161
AR17383165104404561921,NA,Organizing Empowerment PAC,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Organizing Empowerment PAC,C00763409,NA,Organizing Empowerment PAC,WI,NA,https://www.fec.gov/data/committee/C00763409,Independent expenditure-only (Super PACs),Independent Spender,NA,NA,NA,NA,NA,NA,,N,L,Organizing Empowerment PAC,34900,34900,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17383165104404561921,AR17383165104404561921
AR17385223939927572481,John Robinson,John Robinson,NA,17oct2022,NA,JOHN ROBINSON,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1162,unclear could be campaign,NA,,NA,NA,,,,John Robinson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,John Robinson,400,600,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR17385223939927572481,AR17385223939927572481
AR17386977660973875201,HEATH SMITH FOR SENATE,HEATH SMITH FOR SENATE,Registered in US-AK 881361102,02sep2022,NA,HEATH SMITH,HEATH SMITH,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,AK,0,0,0,1,0,0,260,NA,NA,,NA,NA,,,,HEATH SMITH FOR SENATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,HEATH SMITH FOR SENATE,0,1600,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR17386977660973875201,AR17386977660973875201
AR17390371853368819713,CTE LISA DEKRYGER,CTE LISA DEKRYGER,Registered in US-MI 520267,17oct2022,NA,CTE LISA DEKRYGER,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,MI,0,0,0,1,0,0,2247,campaign,NA,,NA,NA,,,,CTE LISA DEKRYGER,NA,NA,"Dekryger, Lisa",NA,NA,NA,NA,NA,NA,NA,Lisa,NA,Dekryger,NA,,NA,NA,CTE LISA DEKRYGER,3800,3900,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR17390371853368819713,AR17390371853368819713
AR17391614645105590273,Joe Kerr for Senate 2022,Joe Kerr for Senate 2022,EIN ID 87-4515828,02sep2022,NA,"KERR, JOE","KERR, JOE",campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,CA,0,0,0,1,0,0,248,NA,NA,,NA,NA,,,,Joe Kerr for Senate 2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Joe Kerr for Senate 2022,0,4000,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR17391614645105590273,AR17391614645105590273
AR17392976871292928001,NA,Vincent Licursi,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Vincent Licursi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Vincent Licursi,100,100,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17392976871292928001,AR17392976871292928001
AR17394550547310182401,NA,Citizens for Sara Feigenholtz,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Citizens for Sara Feigenholtz,NA,NA,"Feigenholtz, Sara",NA,NA,NA,NA,NA,NA,NA,Sara,NA,Feigenholtz,NA,,NA,NA,Citizens for Sara Feigenholtz,1100,1100,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17394550547310182401,AR17394550547310182401
AR17395013991461289985,Kelly For Alaska,Kelly For Alaska,FEC ID S2AK00127,20sep2022,NA,"TSHIBAKA, KELLY","TSHIBAKA, KELLY",campaign,1,NA,0,0,us senate,NA,"TSHIBAKA, KELLY",WMPID4671,S2AK00127,2022,AK,REP,CHALLENGER,,NA,NA,NA,,NA,NA,1,0,0,NA,0,0,1050,NA,NA,,NA,NA,REP,REP,,Kelly For Alaska,C00774570,NA,Kelly for Alaska,US,https://www.fec.gov/data/candidate/S2AK00127/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00774570,Senate,Candidate,NA,NA,Kelly,NA,Tshibaka,NA,Republican,NA,NA,Kelly For Alaska,65300,65300,1,,,,,S2AK00127,,Master only (1),,,Master only (1),,,,,,AR17395013991461289985,AR17395013991461289985
AR06559968258605187073,ALLEGHENY JUSTICE FOR ALL,ALLEGHENY JUSTICE FOR ALL,EIN ID 84-3453955,17oct2022,NA,ALLEGHENY JUSTICE FOR ALL,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2439,group,NA,,NA,NA,,,,ALLEGHENY JUSTICE FOR ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,ALLEGHENY JUSTICE FOR ALL,0,15600,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR173968062641340416,AR173968062641340416|AR06559968258605187073
AR17397880761872285697,KELLY LESSENS FOR ANCHORAGE SCHOOL BOARD,KELLY LESSENS FOR ANCHORAGE SCHOOL BOARD,Registered in US-AK,17oct2022,NA,KELLY LESSENS FOR ANCHORAGE SCHOOL BOARD,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,AK,0,0,0,1,0,0,2158,campaign,NA,,NA,NA,,,,KELLY LESSENS FOR ANCHORAGE SCHOOL BOARD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,KELLY LESSENS FOR ANCHORAGE SCHOOL BOARD,0,1200,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR17397880761872285697,AR17397880761872285697|AR511722435372908544
AR17401259767262871553,NA,Matt Harper For CT,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Matt Harper For CT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Matt Harper For CT,800,800,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17401259767262871553,AR17401259767262871553
AR17402293102034550785,Breitling For Senate,Breitling For Senate,EIN ID 88-2276600,02sep2022,NA,"BREITLING, BRYAN","BREITLING, BRYAN",campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,1,0,0,59,NA,NA,,NA,NA,,,,Breitling For Senate,NA,NA,"Breitling, Bryan J",NA,NA,NA,NA,NA,NA,NA,Bryan,NA,Breitling,NA,,NA,NA,Breitling For Senate,0,1000,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR17402293102034550785,AR17402293102034550785
AR17402384361499656193,NA,CITIZENS TO ELECT STEVEN REICK,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,CITIZENS TO ELECT STEVEN REICK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CITIZENS TO ELECT STEVEN REICK,700,1000,,1,,1,,,,Matched (3),,,Master only (1),,,,,,AR17402384361499656193,AR17402384361499656193|AR114816158133125120
AR17402468199261274113,COMMON SENSE LEADERSHIP FUND INC.,COMMON SENSE LEADERSHIP FUND INC.,NA,02sep2022,1,COMMON SENSE LEADERSHIP FUND,COMMON SENSE LEADERSHIP FUND,group,0,NA,1,0,,1,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,0,1,0,237,NA,NA,,NA,NA,REP,,,COMMON SENSE LEADERSHIP FUND INC.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,COMMON SENSE LEADERSHIP FUND INC.,83300,1250500,1,,,,,,,Matched (3),COMMON SENSE LEADERSHIP FUND INC.,COMMON SENSE LEADERSHIP FUND INC,Matched (3),,COMMON SENSE LEADERSHIP FUND,,,,AR17402468199261274113,AR17402468199261274113|AR300474159681503232
AR17403646532128866305,NA,"Garth O Green Enterprises, Inc.",NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,"this could possibly be a group, but the page has only one ad and it is a cand named Emily Green speaking directly to the camera so labeling as campaign","Garth O Green Enterprises, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,"Garth O Green Enterprises, Inc.",500,500,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17403646532128866305,AR17403646532128866305
AR17404636161313341441,DR JASON MARTIN FOR TENNESSEE,Dr Jason Martin for Tennessee,EIN ID 87-1894245,17oct2022,NA,"MARTIN, JASON","MARTIN, JASON",campaign,1,NA,0,0,governor,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,TN,0,0,1,NA,0,0,2765,campaign,NA,,NA,NA,,,,DR JASON MARTIN FOR TENNESSEE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Dr Jason Martin for Tennessee,5700,6300,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR17404636161313341441,AR17404636161313341441|AR561682938068992000
AR17406887961127026689,MARCO RUBIO FOR SENATE,MARCO RUBIO FOR SENATE,FEC ID C00620518,02sep2022,1,"RUBIO, MARCO","RUBIO, MARCO",campaign,1,NA,0,0,us senate,NA,NA,WMPID1321,S0FL00338,NA,FL,REP,INCUMBENT,,NA,NA,NA,,NA,NA,1,0,0,0,0,0,313,NA,NA,,NA,NA,REP,REP,,MARCO RUBIO FOR SENATE,C00620518,NA,Marco Rubio for Senate,US,https://www.fec.gov/data/candidate/S0FL00338/?cycle=2018&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00620518,Senate,Candidate,NA,NA,Marco,NA,Rubio,NA,Republican,NA,NA,MARCO RUBIO FOR SENATE,166900,407900,1,,,,,S0FL00338,,Matched (3),,,Master only (1),,,,,,AR17406887961127026689,AR17406887961127026689|AR91989540826251264
AR17407002241616838657,NA,LUMBARD FOR MAYOR 2022,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,LUMBARD FOR MAYOR 2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,LUMBARD FOR MAYOR 2022,900,900,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17407002241616838657,AR17407002241616838657
AR15528042491583397889,"PATAGONIA, INC.","PATAGONIA, INC.",EIN ID 95-3526345,31oct2022,NA,"PATAGONIA, INC.",NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,3183,group,NA,,US,NA,,,,"PATAGONIA, INC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,"PATAGONIA, INC.",0,300,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR174093029009784832,AR174093029009784832|AR15528042491583397889
AR16828175409009917953,Recall District Attorney George Gascon,Recall District Attorney George Gascon,Registered in US-CA 1440808,17oct2022,NA,RECALL DISTRICT ATTORNEY GEORGE GASCON,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,CA,0,0,0,NA,0,0,1735,group,NA,,NA,NA,,,,Recall District Attorney George Gascon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Recall District Attorney George Gascon,0,800,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR174107219581730816,AR174107219581730816|AR16828175409009917953
AR17414146112259883009,"STEIL FOR WISCONSIN, INC.","STEIL FOR WISCONSIN, INC.",FEC ID C00677286,13sep2022,1,"STEIL, BRYAN GEORGE","STEIL, BRYAN",campaign,1,NA,0,0,us house,NA,"STEIL, BRYAN GEORGE",WMPID1281,,NA,NA,,NA,H8WI01156,NA,WI,1,REP,INCUMBENT,NA,0,1,0,NA,0,0,879,NA,NA,,NA,NA,REP,REP,,"STEIL FOR WISCONSIN, INC.",C00677286,NA,"Steil for Wisconsin, Inc.",US,https://www.fec.gov/data/candidate/H8WI01156/?cycle=2018&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00677286,House,Candidate,NA,NA,Bryan,NA,Steil,NA,Republican,NA,NA,"STEIL FOR WISCONSIN, INC.",11100,12400,1,,,,,H8WI01156,,Matched (3),,,Master only (1),,,,C00677286,"STEIL FOR WISCONSIN, INC.",AR17414146112259883009,AR17414146112259883009|AR536720004029087744
AR17415134573213253633,Hageman for Wyoming,Hageman for Wyoming,FEC ID C00788943,13sep2022,1,"HAGEMAN, HARRIET","HAGEMAN, HARRIET",campaign,1,NA,0,0,us house,NA,"HAGEMAN, HARRIET",WMPID4061,,NA,NA,,NA,H2WY00166,NA,WY,0,REP,CHALLENGER,NA,0,1,0,NA,0,0,826,NA,NA,,NA,NA,REP,REP,,Hageman for Wyoming,C00788943,NA,Hageman for Wyoming,US,https://www.fec.gov/data/candidate/H2WY00166/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00788943,House,Candidate,NA,NA,Harriet,NA,Hageman,NA,Republican,NA,NA,Hageman for Wyoming,0,99900,1,,,,,H2WY00166,,Matched (3),,,Master only (1),,,,C00788943,HAGEMAN FOR WYOMING,AR17415134573213253633,AR17415134573213253633|AR216011600581099520
AR17416437769370075137,Put Utah First PAC,Put Utah First PAC,FEC ID C00792259,17oct2022,NA,PUT UTAH FIRST PAC,PUT UTAH FIRST PAC,group,0,NA,1,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,1,0,2628,group,NA,,NA,NA,OTHER,,,Put Utah First PAC,C00792259,NA,Put Utah First PAC,US,NA,https://www.fec.gov/data/committee/C00792259,Independent expenditure-only (Super PACs),Independent Spender,NA,NA,NA,NA,NA,NA,,P,L,Put Utah First PAC,311200,311200,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR17416437769370075137,AR17416437769370075137
AR00072397755447771137,COMMITTEE FOR MIKE MARSICANO,COMMITTEE FOR MIKE MARSICANO,FEC ID C00807750,13sep2022,1,"MARSICANO, MICHAEL","MARSICANO, MIKE",campaign,1,NA,0,0,us house,NA,"MARSICANO, MICHAEL",WMPID4231,,NA,NA,,NA,H6PA11073,NA,PA,8,REP,CHALLENGER,NA,0,1,0,NA,0,0,699,NA,NA,,NA,NA,REP,REP,,COMMITTEE FOR MIKE MARSICANO,C00807750,NA,COMMITTEE FOR MIKE MARSICANO,US,https://www.fec.gov/data/candidate/H2PA08169/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00807750,House,Candidate,NA,NA,Michael,NA,Marsicano,NA,Republican,NA,NA,COMMITTEE FOR MIKE MARSICANO,0,13400,1,,,,,H6PA11073,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR1741866936565760,AR1741866936565760|AR00072397755447771137
AR17420398760009138177,NA,WALKER 4 NC,NA,NA,NA,"WALKER, BRADLEY MARK",NA,campaign,NA,NA,NA,NA,us senate,NA,NA,WMPID4021,S2NC00307,NA,NA,REP,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,REP,REP,,WALKER 4 NC,C00543231,NA,Walker 4 Nc,US,https://www.fec.gov/data/candidate/H4NC06052/?cycle=2020&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00543231,Senate,Candidate,NA,NA,Mark,NA,Walker,NA,Republican,NA,NA,WALKER 4 NC,0,100,,1,,1,,S2NC00307,,Matched (3),,,Master only (1),,,,,,AR17420398760009138177,AR17420398760009138177|AR156064611727048704
AR07485457982029824001,DAN CRENSHAW FOR CONGRESS,DAN CRENSHAW FOR CONGRESS,FEC ID C00660795,13sep2022,1,"CRENSHAW, DANIEL","CRENSHAW, DANIEL",campaign,1,NA,0,0,us house,NA,"CRENSHAW, DANIEL",WMPID1240,,NA,NA,,NA,H8TX02166,NA,TX,2,REP,INCUMBENT,NA,0,1,0,NA,0,0,467,NA,NA,,NA,NA,REP,REP,,DAN CRENSHAW FOR CONGRESS,C00660795,NA,Dan Crenshaw for Congress,US,https://www.fec.gov/data/candidate/H8TX02166/?cycle=2020&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00660795,House,Candidate,NA,NA,Dan,NA,Crenshaw,NA,Republican,NA,NA,DAN CRENSHAW FOR CONGRESS,2500,15000,1,,,,,H8TX02166,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR174216930226339840,AR174216930226339840|AR07485457982029824001
AR16632268825219301377,COMMONWEALTH COMMUNICATIONS,COMMONWEALTH COMMUNICATIONS,EIN ID 84-4535961,17oct2022,NA,COMMONWEALTH COMMUNICATIONS,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2299,group,NA,,NA,NA,,,,COMMONWEALTH COMMUNICATIONS,C90019670,NA,Commonwealth Communications,US,NA,https://www.fec.gov/data/committee/C90019670,Independent expenditor (person or group),Independent Spender,NA,NA,NA,NA,NA,NA,,P,L,COMMONWEALTH COMMUNICATIONS,7400,98800,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR174228475098431488,AR174228475098431488|AR16632268825219301377
AR17424647204219387905,NA,1ST CONGRESSIONAL DIST REP COMM,NA,NA,NA,NA,NA,party,NA,NA,NA,NA,us house,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,REP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,REP,,,1ST CONGRESSIONAL DIST REP COMM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1ST CONGRESSIONAL DIST REP COMM,5600,5600,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17424647204219387905,AR17424647204219387905
AR17425959196469231617,NA,Get Loud Arkansas,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Get Loud Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Get Loud Arkansas,10400,10400,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17425959196469231617,AR17425959196469231617
AR17429077411445604353,NA,Support the candidacy of Michael J Burke for Supreme Court Justice,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Support the candidacy of Michael J Burke for Supre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Support the candidacy of Michael J Burke for Supreme Court Justice,81600,81600,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR17429077411445604353,AR17429077411445604353
AR17429757253228953601,Wieland Now,Wieland Now,Registered in US-MO C101236,17oct2022,NA,WIELAND NOW,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,MO,0,0,0,NA,0,0,1432,group,NA,,NA,NA,,,,Wieland Now,NA,NA,"Wieland, Paul J",NA,NA,NA,NA,NA,NA,NA,Paul,NA,Wieland,NA,,NA,NA,Wieland Now,0,400,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR17429757253228953601,AR17429757253228953601
AR17433909558891249665,FIRST LIBERTY INSTITUTE,First Liberty Institute,EIN ID 75-1403169,17oct2022,NA,FIRST LIBERTY INSTITUTE,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2370,group,NA,,NA,NA,,,,FIRST LIBERTY INSTITUTE,NA,751403169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,First Liberty Institute,0,114500,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR17433909558891249665,AR17433909558891249665|AR120435315386089472
