advertiser_id,advertiser_name,wmp_office,wmp_spontype,wmp_spontype_new,wmpid,cand_id
AR09685831712738639873,CITIZENS FOR REGNITZ,down ballot,campaign,campaign,,
AR16371060046831812609,"NATIONAL ASSOCIATION FOR GUN RIGHTS, INC.",,group,group,,
AR01611602983659765761,GROWTH ENERGY,,group,group,,
AR07922307145884762113,"SHAPIRO, JOSH FOR PENNSYLVANIA",governor,campaign,campaign,,
AR07778338192855400449,Herbster for Nebraska,down ballot,campaign,campaign,,
AR10435315737957498881,CONCERNED CITIZEN,,group,group,,
AR05413802153439395841,AMERICA S GIFT SHOP LLC,,group,group,,
AR02851253965465583617,"DATA GENOMIX, INC.",,group,group,,
AR04558118224239001601,TISHAURA O. JONES FOR MAYOR,down ballot,campaign,campaign,,
AR13328809779066306561,Mathis for Arizona,down ballot,campaign,campaign,,
AR12908157246122229761,NEW YORK STATE COMMITTEE OF THE WORKING FAMILIES PARTY,,group,group,,
AR07488873271304126465,GOA VICTORY FUND,,group,group,,
AR08746465877693562881,STOP REPUBLICANS,,group,group,,
AR07011370214767984641,Scott Schwab for Secretary of State,down ballot,campaign,campaign,,
AR07094090872572084225,DARRIN CAMILLERI FOR STATE SENATE,down ballot,campaign,campaign,,
AR00928216924578381825,REP. KEVIN HERN - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID1212,H8OK01157
AR14947161977414221825,REPUBLICAN PARTY OF IOWA,,party,party,,
AR06300250692862869505,Gail Huff Brown for Congress,us house,campaign,,WMPID2691,H2NH01288
AR10057013369258377217,ZETA GLOBAL CORP.,,group,group,,
AR17909039319578836993,JAMES CRAIG FOR GOVERNOR EXPLORATORY COMMITTEE,governor,campaign,campaign,,
AR09354451827388579841,MALONEY FOR CONGRESS,us house,campaign,,WMPID824,H2NY14037
AR01217437960706719745,Huber For Senate LLC,down ballot,campaign,,,
AR03767601249705263105,Catherine G Huddle,,unclear could be campaign,unclear could be campaign,,
AR04782537618439012353,Washington Speakers Bureau Inc,,group,group,,
AR15839031658918445057,Georgia Conservation Voters Action Fund,,group,group,,
AR08541552094648205313,GAYNOR FOR GOVERNOR LLC,governor,campaign,campaign,,
AR15046241169216372737,NATURE CONSERVANCY,,group,group,,
AR08545076029415227393,JEDA MEDIA GROUP LLC JEFFREY N BOYER SOLE MBR,,group,group,,
AR14875864970544807937,ERIC GARCIA FOR CONGRESS,us house,campaign,,WMPID1717,H0CA22110
AR01422209356996280321,Island Richards,,unclear could be campaign,unclear could be campaign,,
AR10768582110382915585,"FUTURE MAJORITY, INC.",,group,,,
AR16959870513738416129,KIRKMEYERFORCONGRESS-COM,us house,campaign,,WMPID2961,H2CO08079
AR08829782470799917057,JOHN WRAY CAMPAIGN,down ballot,campaign,campaign,,
AR17169573425836982273,Elect Kirk Fiehler,down ballot,campaign,campaign,,
AR04429727358110400513,Sean Ryan For Senate,down ballot,campaign,campaign,,
AR03166505939381518337,JUSTIN BURAU FOR CONGRESS,us house,campaign,,WMPID3033,H2IL06082
AR02899949136436527105,PENNSYLVANIA EDUCATIONAL COMMUNICATIONS SYSTEMS,,group,group,,
AR02617066784842317825,SAVE THE CHILDREN ACTION NETWORK INC,,group,group,,
AR13497002897400922113,"STUDENTS FOR LIFE OF AMERICA, INC.",,group,group,,
AR14177953263348875265,Friends for Kathy Hochul,governor,campaign,campaign,,
AR08765570991737798657,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,,group,group,,
AR15612568822358212609,Democracy Initiative,,group,group,,
AR02636709834950443009,"TEAM GRAHAM, INC.",us senate - other cycle,campaign,,WMPID1422,
AR11534194047035899905,NATIONAL WOMEN'S LAW CENTER,,group,group,,
AR14645100569618808833,Carter For Superintendent 2022,down ballot,campaign,campaign,,
AR17842976537813450753,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,,party,party,,
AR01847952560057483265,Ross Deal for Indiana House District 7,down ballot,campaign,campaign,,
AR17765208561417191425,"Taxpayers Against Special Interest Monopolies, a committee sponsored by Licensed Card Clubs",,group,group,,
AR05958943317025619969,"JobsPAC, a Bi-Partisan Coalition of California Employers",,group,group,,
AR08091192131911155713,GUARDING AGAINST PANDEMICS,,group,,,
AR06096062312613937153,FRIENDS OF GLYNN,down ballot,campaign,campaign,,
AR09550358411179196417,NEWSMAX MEDIA INC,,group,group,,
AR15927455483535818753,STOP THE REPUBLICAN RECALL OF GOVERNOR NEWSOM,,group,,,
AR02009446147885629441,Collie Britain Sledge,,unclear could be campaign,unclear could be campaign,,
AR09478300817141268481,SHAWN COLLINS FOR CALIFORNIA,us house,campaign,,WMPID4071,H2CA45158
AR07595198038574891009,Suraj Patel 2022,us house,campaign,,WMPID3759,H8NY12129
AR02394967635054821377,SARAH FOR ALASKA,us house,campaign,,WMPID2014,H2AK00226
AR11780304537909198849,Innovation Ohio,,group,group,,
AR17190715179013242881,ALLIANCE FOR A BETTER MINNESOTA,,group,group,,
AR14493059002218315777,ONE COUNTRY INC,,group,group,,
AR17138163196129968129,MARIE NEWMAN FOR CONGRESS,us house,campaign,,WMPID1108,H8IL03102
AR02952327671360520193,DAVID TRONE FOR CONGRESS,us house,campaign,,WMPID987,H6MD08549
AR15676347574875324417,No on 30,,group,group,,
AR00184362398893735937,VALUE THEM BOTH ASSOCIATION,,group,group,,
AR09646341378237530113,CAMPAIGN TO ELECT CARLOS GUILLERMO SMITH,down ballot,campaign,campaign,,
AR03247778196774453249,COELHO FOR SENATE,down ballot,campaign,,,
AR12027025395174866945,BILL G SCHUETTE FOR STATE REPRESENTATIVE,down ballot,campaign,campaign,,
AR13434353205886582785,COMMITTEE TO ELECT BODE,down ballot,campaign,campaign,,
AR03237719108489314305,ALLIANCE FOR A BETTER MINNESOTA ACTION FUND,,group,,,
AR00440229131318198273,JEFFRIES FOR CONGRESS,us house,campaign,,WMPID822,H2NY10092
AR00914706125696270337,"Jim Banks for Congress, Inc.",us house,campaign,,WMPID977,H6IN03229
AR03382678721495302145,BENJAMIN 2021,down ballot,campaign,campaign,,
AR14061078750729076737,"AMERICAN FEDERATION FOR CHILDREN, INC.",,group,group,,
AR11240242018531672065,"Brad for Georgia SOS, inc.",down ballot,campaign,campaign,,
AR05652492933690032129,Ryan Catala,,unclear could be campaign,unclear could be campaign,,
AR07124409424671670273,1111 LLC,,group,group,,
AR09255875387278229505,FRIENDS OF NICK FREITAS INC,down ballot,campaign,,WMPID722,
AR13145520847118663681,RGA Nevada PAC,,group,group,,
AR03136609393588568065,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,,party national,party national,,
AR07062265852103491585,NEVADA RISING PAC,,group,group,,
AR18429205076540129281,ALLIANCE FOR A BETTER MINNESOTA EDUCATION FUND,,group,group,,
AR06967544024882216961,DANIEL FORD,,unclear could be campaign,unclear could be campaign,,
AR12510423689461760001,Friends of Mike Halpin,down ballot,campaign,campaign,,
AR06199057140200505345,Angie Craig for Congress,us house,campaign,,WMPID991,H6MN02131
AR14148876884510769153,ELECT MARK SPEED FOR STATE SENATE,down ballot,campaign,campaign,,
AR03363098274830483457,Blake Blackburn,,unclear could be campaign,unclear could be campaign,,
AR17302460744767373313,RESTORATION PAC,,group,,,
AR03554841901439909889,Campaign Committee of Elliott Engen,down ballot,campaign,campaign,,
AR03124812458456252417,OKPA FOR CONGRESS,us house,campaign,,WMPID3475,H2TX32158
AR18053154507654692865,GROUND NEWS INC,,group,group,,
AR07669325119654723585,ADAM MORFELD FOR COUNTY ATTORNEY,down ballot,campaign,campaign,,
AR11822424423187611649,FOR OUR FUTURE,,group,group,,
AR07394059978459316225,Paul G Crisci,,unclear could be campaign,unclear could be campaign,,
AR15195620544088113153,INDIVISIBLE PROJECT INC.,,group,group,,
AR15436304738919907329,American Bankers Association PAC (BANKPAC),,group,,,
AR10847395103861899265,MCCLELLAN FOR GOVERNOR,governor,campaign,campaign,,
AR09016237102882357249,MAJORITY RISING NC,,group,group,,
AR08800243266285993985,COMPASS COLORADO,,group,group,,
AR16740355216276193281,DIGITAL COMMUNICATIONS LLC,,group,group,,
AR02955202069633433601,Coalition to Grow San Francisco - Grow SF PAC,,group,group,,
AR02698131578134986753,WINSOME SEARS FOR LT GOV,down ballot,campaign,campaign,,
AR15031927451968077825,Barbara Sharief,down ballot,campaign,campaign,,
AR03933390010987839489,PETER MEIJER FOR CONGRESS,us house,campaign,,WMPID337,H0MI03308
AR17248417549238927361,CLUB FOR GROWTH,,group,,,
AR08533817030346801153,AMERICA NEXT INC,,group,,,
AR04082276186175045633,Thaddeus Riley,,unclear could be campaign,unclear could be campaign,,
AR06879042341097701377,TOGETHER FOR PROGRESS,,group,group,,
AR15639225107384107009,16TH DISTRICT DEMOCRATS,,party,party,,
AR13357725835365187585,"Planned Parenthood Maine Action Fund, Inc.",,group,group,,
AR11474802826949951489,HARLEY ROUDA FOR CONGRESS,us house,campaign,,WMPID1071,H8CA48035
AR13323113759078612993,Jennifer Bedford,,unclear could be campaign,unclear could be campaign,,
AR06373068874069311489,314 FORWARD,,group,group,,
AR16181908862482251777,DAN RODIMER FOR CONGRESS,us house,campaign,,WMPID461,H2TX06335
AR00090547393887469569,"ADVERTISEMINT, INC.",,group,group,,
AR02518986155756617729,CONSERVATION VOTERS OF MICHIGAN,,group,group,,
AR15760141905783947265,John Carli for Vacaville Mayor 2022,down ballot,campaign,campaign,,
AR11991849681740103681,NATIONAL WILDLIFE FEDERATION,,group,group,,
AR11736856030267572225,REP. PETE OLSON - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,,H8TX22107
AR08421362279592755201,AMERICAN LEADERSHIP COMMITTEE,,group,group,,
AR00190535332049977345,John Anderson For Sheriff,down ballot,campaign,campaign,,
AR04836313357764001793,VOTE MARC LAHOOD,down ballot,campaign,campaign,,
AR00732758391776083969,A BETTER WISCONSIN TOGETHER INC,,group,group,,
AR14852785877880406017,Kaylee Reed,,unclear could be campaign,unclear could be campaign,,
AR17208804000716029953,Ellman for IL Senate D21,down ballot,campaign,,,
AR01090346511163719681,REP. COLIN ALLRED - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID1263,H8TX32098
AR06728092657463066625,COMMITTEE TO ELECT STEVE SISOLAK,governor,campaign,campaign,,
AR09511955768555864065,New Mexicans for Michelle,governor,campaign,campaign,,
AR06050146363440627713,CHRIS4ARIZONA % CHRISTINE MARSH,down ballot,campaign,campaign,,
AR14915073830069207041,STEPHANIE KLICK CAMPAIGN,down ballot,campaign,campaign,,
AR14432060296132558849,PROTECT OUR CARE A PROJECT OF SIXTEEN THIRTY FUND,,group,,,
AR03625873101373308929,FREE THE PEOPLE FIGHT THE POWER FOUNDATION,,group,group,,
AR17361091377684807681,JOSH HARDER FOR CONGRESS,us house,campaign,,WMPID1054,H8CA10126
AR10911936711290257409,Equity PAC,,group,group,,
AR12536610276864163841,RODNEY FOR CONGRESS,us house,campaign,,WMPID801,H2IL13120
AR09488799229041180673,Greg Tanaka for Congress,us house,campaign,,WMPID3521,H2CA18130
AR01062480488469364737,FLORIDA DEMOCRATIC LEGISLATIVE CAMPAIGN COMMITTEE,,party,party,,
AR15834287266244591617,SEIU COPE (Service Employees International Union Committee On Political Education),,group,,,
AR18185250109493608449,DELINA DISANTO FOR CONGRESS,us house,campaign,,WMPID1044,H8AZ04165
AR15228689661963534337,Montana Rural Voters Action Fund,,group,group,,
AR00641963126736027649,Davis Committee,down ballot,campaign,campaign,,
AR02433745967057469441,Friends of Barry Julian,down ballot,campaign,campaign,,
AR05655283700359757825,Barbara Wasinger,,unclear could be campaign,unclear could be campaign,,
AR16065211302515048449,MILLER-MEEKS FOR CONGRESS,us house,campaign,,WMPID2556,H8IA02043
AR10412770252029952001,John Kennedy for City Council 2022,down ballot,campaign,,,
AR08705933481047228417,NUESTRO PAC,,group,,,
AR17379662403955851265,Parrott for Congress,us house,campaign,,WMPID322,H0MD06231
AR01847977299069108225,Committee to Elect Cheney,down ballot,campaign,campaign,,
AR07470786098868781057,Kevin D Sparks,down ballot,campaign,campaign,,
AR10360408209780375553,Bob Jonsen for Sheriff of Santa Clara County 2022,down ballot,campaign,campaign,,
AR05237227183088336897,DOCROBFORCONGRESS,us house,campaign,,WMPID3725,H2NC10124
AR11777388426913906689,FRIENDS OF SARA LIND,down ballot,campaign,campaign,,
AR09619789271938367489,HOUSING PROVIDERS FOR RESPONSIBLE SOLUTIONS,,group,group,,
AR03310621127457374209,HILTON MULTIMEDIA,,group,group,,
AR11826928022814982145,"OZY MEDIA, INC.",,group,group,,
AR11335275076263084033,ANNA ESHOO FOR CONGRESS,us house,campaign,,WMPID1057,H8CA12098
AR04669947627754749953,RICK CARUSO FOR MAYOR 2022,down ballot,campaign,campaign,,
AR02247011028229423105,PHARMACEUTICAL CARE MANAGEMENT ASSOCIATION,,group,group,,
AR13009122924999737345,JUSTIN HASKINS,,unclear could be campaign,unclear could be campaign,,
AR14419840323901456385,MARCUS FOR GEORGIA,us house,campaign,,WMPID2977,H2GA14044
AR02726644388544380929,RASHIDA TLAIB FOR CONGRESS,us house,campaign,,WMPID1153,H8MI13250
AR04855355799645454337,REP. JASON CROW - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID1078,H8CO06229
AR06227226353226219521,Michigan Center of Accountability For Republicans,,group,group,,
AR09872365784536186881,"VOTO LATINO, INC.",,group,group,,
AR14938154778159480833,MCDUFFIE 2022,down ballot,campaign,campaign,,
AR08691990024339587073,CUSACK PATRICK HOUSE OF DELEGATES DISTRICT 12,down ballot,campaign,campaign,,
AR14897708074700636161,COLORADANS FOR AFFORDABLE HOUSING NOW,,group,group,,
AR03182758920263303169,Homebound Entrepreneurs Against DeWines - HEAD,,group,group,,
AR13628367873763180545,JEN ZINONE FOR CONGRESS,us house - not in our 2022 FEC cd file,campaign,,WMPID448,
AR15373315092154155009,"NRDC ACTION FUND, INC.",,group,,,
AR13657641271341088769,Michelle for Minnesota,governor,campaign,campaign,,
AR03593795605547188225,Center Street PAC,,group,group,,
AR11669831656864219137,New Hampshire Republican State Committee,,party,party,,
AR16289674196143833089,Bruce O'Connell for Congress,us house,campaign,,WMPID2638,H2NC11221
AR01124626260060798977,WEST VIRGINIAS FUTURE PAC,,group,group,,
AR17840463329110261761,Energy Engaged Inc,,group,group,,
AR11120209227480563713,Georgia Democratic Party,,party,party,,
AR00795360735570952193,Kim Melnyk for Delegate,down ballot,campaign,campaign,,
AR17032328604886761473,Florida House Republican Campaign Committee,,party,party,,
AR16478226146656256001,Local Factor Group LLC,,group,group,,
AR09388228824593858561,REID FOR DELEGATE,down ballot,campaign,campaign,,
AR12074626002320359425,OPPORTUNITY ARIZONA,,group,,,
AR00626618136300355585,Ryan O'Daniel,,unclear could be campaign,unclear could be campaign,,
AR01674065414599999489,BE CHANGE NOW,,group,,,
AR13199050914314321921,Vote Vera,down ballot,campaign,campaign,,
AR08745402649949503489,Giselle M Hale,,unclear could be campaign,unclear could be campaign,,
AR07910287559647821825,Beto for Texas,governor,campaign,campaign,,
AR01677121782047309825,Brentan Vanier Walter,,unclear could be campaign,unclear could be campaign,,
AR16350905998694678529,JIMMY GOMEZ FOR CONGRESS,us house,campaign,,WMPID1065,H8CA34266
AR07054605554592776193,ETTINGER FOR CONGRESS,us house,campaign,,WMPID3308,H2MN01249
AR06704083446681042945,MATT PUTORTI FOR CONGRESS,us house,campaign,,WMPID3550,H2NY21149
AR11106743714733621249,Sheng Thao for Oakland Mayor 2022,down ballot,campaign,campaign,,
AR01606008668497641473,ENERGIZED FOR CHANGE PAC,,group,group,,
AR04115604376477761537,STEVE SIMON FOR SECRETARY OF STATE,down ballot,campaign,campaign,,
AR02782746350876360705,COURTNEY GEELS FOR CONGRESS,us house,campaign,campaign,WMPID3251,H2NC13185
AR12600386074443776001,Roger Niello For Senate 2022,down ballot,campaign,,,
AR13254569104691429377,FAULCONER FOR GOVERNOR EXPLORATORY COMMITTEE 2022,governor,campaign,campaign,,
AR04190173804829343745,SMILEY FOR MAYOR,down ballot,campaign,campaign,,
AR14884111582631034881,The Committee to Elect John Jay Lee,governor,campaign,campaign,,
AR16596240028200337409,VAN ORDEN FOR CONGRESS,us house,campaign,,WMPID753,H0WI03175
AR17414146112259883009,"STEIL FOR WISCONSIN, INC.",us house,campaign,,WMPID1281,H8WI01156
AR05957505155816488961,People Who Play By The Rules PAC,,group,,,
AR06707629921436434433,GRETCHEN WHITMER FOR GOVERNOR,governor,campaign,campaign,,
AR08822330736901095425,Odney Inc,,group,group,,
AR15248903152448045057,Chad Crow,,unclear could be campaign,unclear could be campaign,,
AR02013584434774671361,DGA ACTION,,group,,,
AR03789493900603817985,The Oklahoma Project,,group,,,
AR17093857550455013377,KYRA HARRIS BOLDEN FOR JUSTICE,down ballot,campaign,campaign,,
AR06343795476491403265,Karrin for Arizona,governor,campaign,campaign,,
AR05313472473319079937,Matt Claman for Alaska,down ballot,campaign,campaign,,
AR01179257419432198145,SPECIAL OPERATIONS FOR AMERICA,,group,group,,
AR01450588508023422977,Secretary of State Oregon,,government agency,government agency,,
AR00269846954052157441,HALEY STEVENS FOR CONGRESS,us house,campaign,,WMPID1152,H8MI11254
AR13037635735409131521,American Values Network Educational Foundation Inc,,group,group,,
AR16411962635299323905,Nancy Liu,,unclear could be campaign,unclear could be campaign,,
AR14114756633519194113,ASSOCIATED REPUBLICANS OF TEXAS CAMPAIGN FUND,,group,group,,
AR04806333180367863809,Pennsylvania House Democratic Campaign Committee,,party,party,,
AR17095295161908330497,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,us house,campaign,,WMPID1193,H8NY15148
AR06503673263263055873,THE LINCOLN PROJECT,,group,,,
AR05518375604845543425,LCISD-BUILD THE FUTURE,,unclear could be campaign,unclear could be campaign,,
AR13585583677303160833,TARA DURANT FOR DELEGATE,down ballot,campaign,campaign,,
AR08376326283319050241,Tom Malinowski for Congress,us house,campaign,,WMPID1181,H8NJ07223
AR04190235033883115521,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,,group,group,,
AR17569017547712364545,DIGICO LLC,,group,group,,
AR17764924131502981121,WARFIELD & COMPANY,,group,group,,
AR02224092532982153217,Republican Jewish Coalition,,group,group,,
AR11537853221733138433,ANTHONY TRIMINO FOR GOVERNOR 2021,down ballot,campaign,campaign,,
AR13184504925234659329,San Franciscans for Public Safety Supporting the Recall of Chesa Boudin,,group,group,,
AR10317461560477351937,"Perdue for Governor, Inc.",governor,campaign,campaign,,
AR01386739661640040449,Polis for Colorado,governor,campaign,campaign,,
AR00282478143632048129,DEWINE HUSTED FOR OHIO,governor,campaign,campaign,,
AR13091678930937577473,Polistina for Senate,down ballot,campaign,,,
AR11451242766667874305,John Moore for Congress District 1 Committee,us house,campaign,,WMPID4554,H2AZ01347
AR14371461812279312385,FRIENDS OF MIKE CHERRY,down ballot,campaign,campaign,,
AR11040448454978437121,Gregg Hart for Assembly 2022,down ballot,campaign,campaign,,
AR15879407100279914497,HUNT FOR CONGRESS,us house,campaign,,WMPID636,H0TX07170
AR03976393285139693569,PATRICK MCGUINNESS CAMPAIGN,down ballot,campaign,campaign,,
AR17788532845174587393,Jill Homan For NC,down ballot,campaign,campaign,,
AR02306318410553753601,Bilirakis For Congress,us house,campaign,,WMPID965,H6FL09070
AR00535643169828634625,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,us house,campaign,,WMPID849,H2TX23082
AR18009362608787816449,Missouri Conservative Alliance,,group,group,,
AR14653382297357647873,PUBLIC WISE PAC,,group,group,,
AR11362296674027307009,VIRGIN ISLANDS FOR PLASKETT,us house - not in our 2022 FEC cd list,campaign,,WMPID858,
AR04503640721617584129,Friends of Raquel Moore-Green,down ballot,campaign,campaign,,
AR00982260120106827777,MOVEON.ORG CIVIC ACTION,,group,group,,
AR01536730639854731265,MIKE FEUER FOR MAYOR 2022,down ballot,campaign,campaign,,
AR04486107565603684353,DEMOCRATS SERVE,,group,,,
AR03881505706540531713,Katrina Foley for Supervisor 2022,down ballot,campaign,campaign,,
AR05088381895989788673,Bridget Barton,down ballot,campaign,campaign,,
AR11650119955998834689,Consumers Research Inc.,,group,group,,
AR11603999841260142593,FERNÁNDEZ FOR THE BRONX,down ballot,campaign,campaign,,
AR16049198908521316353,Asher Agency Inc,,group,group,,
AR17006067594291052545,ABRAHAM SIMON GURKO,,unclear could be campaign,unclear could be campaign,,
AR15058720007716339713,JUDICIAL INTEGRITY PROJECT,,group,group,,
AR04794557204675952641,MATTHEW SIMON LEWIS,,unclear could be campaign,unclear could be campaign,,
AR04506326828524240897,MATT RICHARDS FOR CONGRESS,us house,campaign,,WMPID2834,H2GA10257
AR13182511510653501441,CARLINA FOR COUNCIL,down ballot,campaign,campaign,,
AR12678108352388005889,CITIZENS TO ELECT ALI,down ballot,campaign,campaign,,
AR00226646042685210625,Friends for Kathy Hochul,governor,campaign,campaign,,
AR13479749086059954177,THE 60 PLUS ASSOCIATION,,group,group,,
AR09252360248604229633,GEORGENE LOUIS FOR CONGRESS,us house,campaign,,WMPID4533,H2NM01219
AR04367805955610509313,"HONOR PENNSYLVANIA, INC",,group,,,
AR13758972262956924929,AB PAC,,group,group,,
AR18417915840901939201,PLANNED PARENTHOOD ADVOCATES OF MICHIGAN,,group,group,,
AR16346978543160262657,Shawn Nelson For Judge 2022,down ballot,campaign,campaign,,
AR03999133315905880065,Friends of LaToya N Greenwood,down ballot,campaign,campaign,,
AR05019601946114260993,Russel C. Ford,,unclear could be campaign,unclear could be campaign,,
AR05099490261965209601,Faley For Congress,us house - not in our 2022 FEC cd file,campaign,,,
AR04818566415457976321,"LEAGUE OF CONSERVATION VOTERS, INC.",,group,,,
AR01049053527348871169,Debi Hays,,unclear could be campaign,unclear could be campaign,,
AR17955566528497713153,PRIORITIES USA & MAJORITY FORWARD,,group,,,
AR13217779720503951361,OSCAR ROSA CAMPAIGN,down ballot,campaign,campaign,,
AR12968635608330141697,New Mexicans for Colón,down ballot,campaign,campaign,,
AR06652534149682823169,Planned Parenthood Great Plains Votes,,group,group,,
AR06758873966518992897,Morgan J. LaMantia,down ballot,campaign,campaign,,
AR06620766853574688769,MICHAEL PESKOFF,,unclear could be campaign,unclear could be campaign,,
AR12367359978099441665,RITA HART FOR IOWA INC,us house - other cycle,campaign,campaign,,H0IA02156
AR12108402999525638145,JAKE EVANS FOR CONGRESS INC.,us house,campaign,,WMPID4252,H2GA06164
AR14434586630255804417,Mary for Illinois,down ballot,campaign,campaign,,
AR16291582604732268545,Nancy Liu,,unclear could be campaign,unclear could be campaign,,
AR18014029485891911681,STEPHENSON FOR HOUSE,down ballot,campaign,campaign,,
AR14325956324540547073,Alaskans For Team Alaska Regional Association,,group,group,,
AR11202418887255654401,JAY COLLINS FOR CONGRESS,,campaign,,WMPID4382,
AR14306498817019609089,AMERICA WORKS USA,,group,,,
AR08543803894461890561,FRIENDS OF JOHN BARRASSO,us senate - other cycle,campaign,,WMPID1525,
AR14342188414701404161,DAVID JAMES FOR MAYOR,down ballot,campaign,campaign,,
AR14924521658608779265,KEEPING CALIFORNIANS WORKING,,group,group,,
AR02566766601772728321,Friends of Megan Sullivan,down ballot,campaign,campaign,,
AR06223289002087153665,COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE,,group,,,
AR16202660151591698433,Biggs for Congress,us house,campaign,campaign,WMPID946,H6AZ05083
AR01716973787154481153,FIRST RESPONDERS IN SUPPORT OF BOB HERTZBERG FOR SUPERVISOR 2022,down ballot,campaign,campaign,,
AR06282996881521901569,TEXANS FOR RONNY JACKSON,us house,campaign,,WMPID650,H0TX13228
AR09144000560188358657,Nancy Liu,,unclear could be campaign,unclear could be campaign,,
AR11585985442750660609,REP. CLAUDIA TENNEY -  U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID919,H4NY22051
AR14201315686415859713,TIFFANY ROBERTS,,unclear could be campaign,unclear could be campaign,,
AR13515777883078918145,"HUMAN RIGHTS CAMPAIGN, INC.",,group,group,,
AR10868560152940773377,BOB FOR GOVERNOR INC,governor,campaign,campaign,,
AR03976577178459439105,Republican Party of Minnesota-Federal,,party,party,,
AR11840438821697093633,CONSERVATIVE INSTITUTE LLC,,group,group,,
AR16524182434162409473,FREE TO CHOOSE NETWORK,,group,group,,
AR00522892958115037185,NYC VOTES INC.,,group,group,,
AR16883116355782443009,Committee to Elect Liam Miguel Simard,us house,campaign,,WMPID3213,H2CA15136
AR11986649129179676673,Tyler For City Council,down ballot,campaign,campaign,,
AR15945469882045300737,"THESKIMM, INC.",,group,group,,
AR01012150549866348545,Elissa for DC,down ballot,campaign,campaign,,
AR15749563298254684161,SERVICE EMPLOYEES INTERNATIONAL UNION (SEIU),,group,,,
AR12046843817387622401,Climate Reality Action Fund,,group,group,,
AR16864446098586992641,Caleb Fisher,,unclear could be campaign,unclear could be campaign,,
AR09872765663171313665,GRAVES FOR CONGRESS,us house,campaign,,WMPID392,H0MO06073
AR00805131751809613825,JOSIAH HILL FOR MN HOUSE,down ballot,campaign,campaign,,
AR10200502041864830977,"Friends of Tina Kotek, PAC ID 4792",down ballot,campaign,campaign,,
AR09535337982832148481,Daly For Senate District 13,down ballot,campaign,campaign,,
AR02059611091025002497,Mike Sturla for State Rep,down ballot,campaign,campaign,,
AR16735216098927968257,Paul Amador,,unclear could be campaign,unclear could be campaign,,
AR07859256751101575169,"ASCENSION MARKETING GROUP, INC.",,group,group,,
AR08213154634588487681,Delco Victory 2021,down ballot,campaign,campaign,,
AR18099681716573569025,50CAN ACTION FUND PAC,,group,group,,
AR04561861236697858049,John N. Raney,down ballot,campaign,campaign,,
AR17831717538745024513,JASON MINNICOZZI FOR CONGRESS,us house,campaign,,WMPID4331,H2NC07146
AR15634535346694258689,Katherine Parker,down ballot,campaign,campaign,,
AR13481418350869348353,TAHVILDARAN-JESSWEIN FOR SCHOOL BOARD 2022; RE-ELECT RICHARD,down ballot,campaign,campaign,,
AR00035659773428891649,BEACHSIDE MEDIA INC,,group,group,,
AR16602960243269304321,"YES on 26, NO on 27 - Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",,group,group,,
AR03873571080878686209,BLUE SENATE PAC,,group,,,
AR03510270723706847233,Fidelis Center for Law and Justice,,group,group,,
AR16497698703742599169,COMMITTEE FOR LOCAL RESILIENCY LISA CALDERON BALLOT MEASURE COMMITTEE,,group,group,,
AR09077845763043622913,NICOLE HASSO FOR CONGRESS,us house,campaign,,WMPID2346,H2IA03101
AR12223244790023585793,ELECT TONYA PFAFF,down ballot,campaign,campaign,,
AR14384212023992909825,"The Committee to Protect Medicare & the ACA, Inc.",,group,group,,
AR14582370407597211649,Patty for Congress,us house,campaign,,WMPID1606,H2NE01092
AR17670264632847106049,COMMITTEE TO ELECT JODY M RICE WHITE,down ballot,campaign,campaign,,
AR11986512446140448769,Marlborough REPCC,,group,group,,
AR14726485595673067521,Women Speak Out Virginia - 2021,,group,group,,
AR05472481989502173185,Marin Measure A 2022 — Support,,group,group,,
AR13018194651843133441,ERIC SORENSEN FOR ILLINOIS,us house,campaign,campaign,WMPID3606,H2IL17147
AR08633875887009300481,SECURE DEMOCRACY,,group,group,,
AR00831389532589916161,RE-ELECT MAYOR KUCINICH COMMITTEE,down ballot,campaign,campaign,,
AR17758300673457258497,Jamie For Oregon,us house,campaign,,WMPID4278,H8OR02161
AR09606653406521327617,DEMOCRATIC-FARMER-LABOR,,party,party,,
AR11921503614989762561,MIA FOR SENATE,down ballot,campaign,,,
AR16470139238633963521,CALIFORNIA TEACHERS ASSOCIATION,,group,,,
AR09160797043411648513,REP. LUCY MCBATH - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID1096,H8GA06393
