wmpid,genelect_cd,CurrCand,cand_name,cand_id,cand_office,cand_office_st,cand_office_dist,cand_party_affiliation,cand_incumbent_challenger_open_s,dateadded_cd,office_wapo,result_wapo,primarydate_wapo,trumpe_wapo,gender_wmp,gender_crp,latino_wmp,latino_crp,race_wmp,race_crp1,race_crp2,race_crpmena,hse_cmpt_gen,full_name,first_name,last_name
WMPID3835,0,,"SMITH, GREGG HARRISON",H2CO03203,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Gregg Harrison Smith,Gregg Harrison,Smith
WMPID3778,0,,"DONOVAN, KERRY",H2CO03211,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Kerry Donovan,Kerry,Donovan
WMPID4115,0,,"SANDOVAL TAFOYA, SOLEDAD",H2CO03245,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,F,F,1,Y,Hispanic/Latino,H,NULL,N,0,Soledad Sandoval Tafoya,Soledad,Sandoval Tafoya
WMPID2356,0,,"MARTINEZ, SUSAN LYNN",H2CO03252,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Susan Lynn Martinez,Susan Lynn,Martinez
WMPID3205,1,Y,"ZIMMERMAN, MARINA",H2CO03260,H,CO,3,REP,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Marina Zimmerman,Marina,Zimmerman
WMPID2916,0,,"BURNETT, DEBORA LYNN",H2CO03278,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Debora Lynn Burnett,Debora Lynn,Burnett
WMPID3173,0,,"RHODES, KELLIE",H2CO03286,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Kellie Rhodes,Kellie,Rhodes
WMPID4054,0,,"O'NEILL, JACK MR",H2CO03294,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Jack O'Neill,Jack,O'Neill
WMPID2185,0,,"BUERGER, COLIN",H2CO03302,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Colin Buerger,Colin,Buerger
WMPID3161,1,Y,"SKOWRONSKI, KRISTIN ELISE",H2CO03310,H,CO,3,IND,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Kristin Elise Skowronski,Kristin Elise,Skowronski
WMPID4384,0,,"CORAM, DON",H2CO03328,H,CO,3,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Don Coram,Don,Coram
WMPID2070,0,,"YATES, SCOTT",H2CO03336,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Scott Yates,Scott,Yates
WMPID4348,0,,"WALKER, ALEX",H2CO03344,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Alex Walker,Alex,Walker
WMPID2690,1,Y,"FRISCH, ADAM",H2CO03351,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Adam Frisch,Adam,Frisch
WMPID3843,1,Y,"VAN RAAM, DOUGLAS S",H2CO03369,H,CA,3,OTH,,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Douglas Van Raam,Douglas,Van Raam
WMPID2543,0,,"VIBE, ROME",H2CO04110,H,CO,4,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,Black,B,NULL,NULL,0,Rome Vibe,Rome,Vibe
WMPID1704,1,Y,"WINDHOLZ, DONNA",H2CO04128,H,CO,4,IND,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Donna Windholz,Donna,Windholz
WMPID3838,0,,"SODERBERG, MARIE K",H2CO04144,H,CO,4,DEM,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Marie Soderberg,Marie,Soderberg
WMPID4749,0,,"LEWIS, BOB",H2CO04151,H,CO,4,REP,,6/28/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Bob Lewis,Bob,Lewis
WMPID4632,1,Y,"THOMPSON, RYAN CASEY",H2CO05133,H,CO,5,UN,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Ryan Casey Thompson,Ryan Casey,Thompson
WMPID1749,1,Y,"GOENAGA-TORRES, SANTIAGO DAVID",H2CO05141,H,CO,5,DEM,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,NULL,0,Santiago David Goenaga-Torres,Santiago David,Goenaga-Torres
WMPID1795,0,,"DOWELL, JEREMY J",H2CO05158,H,CO,5,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Jeremy Dowell,Jeremy,Dowell
WMPID4668,1,Y,"JONES, ALAX",H2CO05174,H,CO,5,UN,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Alax Jones,Alax,Jones
WMPID2618,1,Y,"MITCHELL, CHRISTOPHER",H2CO05182,H,CO,5,CON,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Christopher Mitchell,Christopher,Mitchell
WMPID4439,0,,"COLOMBE, MICHAEL CHRISTOPHER MR",H2CO05190,H,CO,5,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Michael Christopher Colombe,Michael Christopher,Colombe
WMPID4385,0,,"MIMIAGA, BRANDON KYLE",H2CO05208,H,CO,5,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Brandon Kyle Mimiaga,Brandon Kyle,Mimiaga
WMPID3942,0,,"WILLIAMS, DAVID",H2CO05216,H,CO,5,REP,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,NULL,0,David Williams,David,Williams
WMPID2471,0,,"AVION, ORLONDO",H2CO05224,H,CO,5,DEM,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Orlondo Avion,Orlondo,Avion
WMPID3300,1,Y,"FEIGENBAUM, MATTHEW",H2CO05232,H,CO,5,UN,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Matthew Feigenbaum,Matthew,Feigenbaum
WMPID2551,0,,"HEATON, ANDREW DAVID",H2CO05240,H,CO,5,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Andrew David Heaton,Andrew David,Heaton
WMPID2114,0,,"TREVINO, AARON MR.",H2CO05257,H,CO,5,UN,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Aaron Trevino,Aaron,Trevino
WMPID1627,0,,"LEATHERWOOD, REBECCA GAIL",H2CO06164,H,CO,6,REP,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Rebecca Gail Leatherwood,Rebecca Gail,Leatherwood
WMPID3622,0,,"RICKERSON, GLENN III",H2CO06172,H,CO,6,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Glenn III Rickerson,Glenn III,Rickerson
WMPID1675,1,Y,"MULDER, ERIC",H2CO06180,H,CO,6,LIB,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Eric Mulder,Eric,Mulder
WMPID1946,1,Y,"WHITE, ANDREW FORREST",H2CO06198,H,CO,6,IND,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Andrew Forrest White,Andrew Forrest,White
WMPID1956,0,,"SMITH, BRIAN",H2CO06206,H,CO,6,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Brian Smith,Brian,Smith
WMPID2296,1,Y,"MONAHAN, STEVEN EDWARD",H2CO06214,H,CO,6,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Steven Edward Monahan,Steven Edward,Monahan
WMPID1987,0,,"FAUST, KYLE ALEXANDER",H2CO07154,H,CO,7,DEM,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Kyle Alexander Faust,Kyle Alexander,Faust
WMPID2739,0,,"IMER, LAUREL ANNE",H2CO07162,H,CO,7,REP,OPEN,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Laurel Anne Imer,Laurel Anne,Imer
WMPID1566,1,Y,"AADLAND, ERIK",H2CO07170,H,CO,7,REP,OPEN,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Erik Aadland,Erik,Aadland
WMPID2648,0,,"MOPPER, JUIUS B",H2CO07188,H,CO,7,DEM,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Juius Mopper,Juius,Mopper
WMPID2644,0,,"ANDERSEN, CARL E",H2CO07196,H,CO,7,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Carl Andersen,Carl,Andersen
WMPID1580,0,,"REICHERT, TIM",H2CO07204,H,CO,7,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Tim Reichert,Tim,Reichert
WMPID1737,0,,"DEMPSEY, BRAD",H2CO07212,H,CO,7,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Brad Dempsey,Brad,Dempsey
WMPID4424,0,,"GRAY, GIULIANNA",H2CO08012,H,CO,8,REP,OPEN,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Giulianna Gray,Giulianna,Gray
WMPID4191,1,Y,"CARAVEO, YADIRA",H2CO08020,H,CO,8,DEM,OPEN,6/7/2022,,,,0,F,F,1,Y,Hispanic/Latino,H,NULL,N,1,Yadira Caraveo,Yadira,Caraveo
WMPID4030,0,,"TEDESCO, CHAZ",H2CO08038,H,CO,8,DEM,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Chaz Tedesco,Chaz,Tedesco
WMPID4095,0,,"GONZALEZ, RYAN ALEXANDER 9706732194",H2CO08046,H,CO,8,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Ryan Alexander Gonzalez,Ryan Alexander,Gonzalez
WMPID3859,0,,"PAYETTE, MATTHEW WILLIAM",H2CO08053,H,CO,8,UN,OPEN,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Matthew William Payette,Matthew William,Payette
WMPID4323,0,,"SAINE, LORI A",H2CO08061,H,CO,8,REP,OPEN,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Lori Saine,Lori,Saine
WMPID2961,1,Y,"KIRKMEYER, BARBARA",H2CO08079,H,CO,8,REP,OPEN,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,1,Barbara Kirkmeyer,Barbara,Kirkmeyer
WMPID1660,0,,"HUMPHREY, JOHNNY",H2CO08087,H,CO,8,DEM,OPEN,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Johnny Humphrey,Johnny,Humphrey
WMPID3418,0,,"KULMANN, JANIFER SUZANNE",H2CO08095,H,CO,8,REP,OPEN,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Janifer Suzanne Kulmann,Janifer Suzanne,Kulmann
WMPID1610,0,,"ALLCORN, TYLER",H2CO08103,H,CO,8,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Tyler Allcorn,Tyler,Allcorn
WMPID3974,0,,"ZORN, STEVE",H2CO08111,H,CO,8,IND,OPEN,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Steve Zorn,Steve,Zorn
WMPID1309,1,Y,"RODRIGUEZ, JOSHUA",H2CO08129,H,CO,4,LIB,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Joshua Rodriguez,Joshua,Rodriguez
WMPID3383,0,,"DOUGLAS, STEVE DOUGLAS",H2CO08137,H,CO,8,DEM,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Steve Douglas Douglas,Steve Douglas,Douglas
WMPID2605,1,Y,"LONG, TIMOTHY LOUIS",H2CO08145,H,CO,8,UN,OPEN,6/7/2022,,,,0,UNK,,,,NULL,,,,1,Timothy Louis Long,Timothy Louis,Long
WMPID3444,0,,"FORDHAM, ABIGAIL MRS",H2CO18011,H,CO,18,ICD,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Abigail Fordham,Abigail,Fordham
WMPID3999,0,,"LEGNANI, ANDREW JOSEPH",H2CT01197,H,CT,1,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Andrew Joseph Legnani,Andrew Joseph,Legnani
WMPID3747,0,,"HREZI, MUAD",H2CT01205,H,CT,1,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,N,Middle East North Africa,M,NULL,Y,0,Muad Hrezi,Muad,Hrezi
WMPID3980,1,Y,"LAZOR, LAWRENCE ZIDOVSKY DR",H2CT01213,H,CT,1,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Lawrence Zidovsky Lazor,Lawrence Zidovsky,Lazor
WMPID786,1,Y,"COURTNEY, JOSEPH",H2CT02112,H,CT,2,DEM,INCUMBENT,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Joe Courtney,Joe,Courtney
WMPID4570,1,Y,"FRANCE, MIKE",H2CT02161,H,CT,2,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Mike France,Mike,France
WMPID3305,0,,"DILIZIA, ANTHONY ADELINO MR.",H2CT02179,H,CT,2,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Anthony Adelino Dilizia,Anthony Adelino,Dilizia
WMPID4644,1,Y,"CHAI, AMY FOGELSTROM DR",H2CT03102,H,CT,3,LIB,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Amy Fogelstrom Chai,Amy Fogelstrom,Chai
WMPID4701,1,Y,"DENARDIS, LESLEY",H2CT03110,H,CT,3,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Lesley Denardis,Lesley,Denardis
WMPID2904,0,,"BOOK, ETHAN",H2CT04126,H,CT,4,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Ethan Book,Ethan,Book
WMPID1935,1,Y,"STEVENSON, JAYME MRS.",H2CT04134,H,CT,4,REP,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Jayme Stevenson,Jayme,Stevenson
WMPID1668,1,Y,"LOGAN, GEORGE S",H2CT05222,H,CT,5,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,Black,B,NULL,NULL,1,George Logan,George,Logan
WMPID3914,0,,"BOTELHO, MICHELLE L",H2CT05230,H,CT,5,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Michelle Botelho,Michelle,Botelho
WMPID2671,0,,"FURZE, MARCUS",H2CT05248,H,CT,5,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,Black,B,NULL,NULL,0,Marcus Furze,Marcus,Furze
WMPID4436,0,,"CUNNINGHAM, GEORGE MR",H2CT12012,H,CT,12,ICD,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,George Cunningham,George,Cunningham
WMPID3583,0,,"FOWLER, ARNOLD DANIEL MR",H2CT21013,H,CT,21,ICD,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Arnold Daniel Fowler,Arnold Daniel,Fowler
WMPID2247,0,,"GREENFORD, MOSES MR",H2CT21021,H,CT,21,ICD,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Moses Greenford,Moses,Greenford
WMPID1602,0,,"ROBINSON, TIMOTHY BRENT MR",H2CT34016,H,CT,34,ICD,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Timothy Brent Robinson,Timothy Brent,Robinson
WMPID3661,0,,"ADELPHI, ADRIAN",H2CT81017,H,CT,81,ICD,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Adrian Adelphi,Adrian,Adelphi
WMPID2220,0,,"HAMILTON, WENDY REV",H2DC01011,H,DC,0,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Wendy Hamilton,Wendy,Hamilton
WMPID4621,0,,"WILLIAMS, KELLY MIKEL",H2DC01029,H,DC,0,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Kelly Mikel Williams,Kelly Mikel,Williams
WMPID3875,0,,"FLYUNT, MIKHAIL PETER MR.",H2DC01037,H,DC,0,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Mikhail Peter Flyunt,Mikhail Peter,Flyunt
WMPID4028,0,,"WISE, CONNELL DR.",H2DC01045,H,DC,0,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,Black,B,AP,NULL,0,Connell Wise,Connell,Wise
WMPID2101,1,Y,"RIMENSNYDER, NELSON F",H2DC01052,H,DC,0,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Nelson Rimensnyder,Nelson,Rimensnyder
WMPID4991,1,Y,"MAJORS, BRUCE POWELL MR.",H2DC01060,H,DC,0,LIB,,8/5/2022,,,,,M,M,0,N,White,W,NULL,N,0,Bruce Powell Majors,Bruce Powell,Majors
WMPID5144,1,Y,"MCNUTT, CODY",H2DE00163,H,DE,0,LIB,CHALLENGER,9/29/2022,,,,,UNK,,,,NULL,,,,0,Cody Mcnutt,Cody,Mcnutt
WMPID4156,0,,"HILL, CHRISTOPHER BROOKS MR.",H2DE01039,H,DE,0,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Christopher Brooks Hill,Christopher Brooks,Hill
WMPID2901,0,,"PRESSLEY, TYLER STEELE",H2DE01047,H,DE,0,IND,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Tyler Steele Pressley,Tyler Steele,Pressley
WMPID4314,0,,"JAY, AARON MR",H2DE18017,H,DE,0,ICD,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Aaron Jay,Aaron,Jay
WMPID1557,0,,"CORDOVA, VINCENT DEAN MR JR",H2FL00318,H,FL,0,NPA,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Vincent Dean Cordova,Vincent Dean,Cordova
WMPID2764,0,,"KELLY, JEREMY",H2FL01225,H,FL,1,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Jeremy Kelly,Jeremy,Kelly
WMPID1630,1,Y,"JONES, REBEKAH",H2FL01233,H,FL,1,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Rebekah Jones,Rebekah,Jones
WMPID3522,1,Y,"JONES, BRYAN CHRISTOPHER",H2FL01241,H,FL,1,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Bryan Christopher Jones,Bryan Christopher,Jones
WMPID3719,1,Y,"SCHILLER, MARGARET ANN MS",H2FL01258,H,FL,1,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Margaret Ann Schiller,Margaret Ann,Schiller
WMPID4500,0,,"MCPHILLIPS, WILLIAM J MR II",H2FL01266,H,FL,1,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,William II Mcphillips,William II,Mcphillips
WMPID4895,1,Y,"LOMBARDO, MARK",H2FL01282,H,FL,1,REP,,6/28/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Mark Lombardo,Mark,Lombardo
WMPID2155,1,Y,"BROOKS, LINDA SUSAN MS.",H2FL02140,H,FL,3,NPA,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Linda Susan Brooks,Linda Susan,Brooks
WMPID4243,0,,"TEAGUE, JOVANTE RODRIGUEZ MR",H2FL02165,H,FL,2,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Jovante Rodriguez Teague,Jovante Rodriguez,Teague
WMPID3069,1,Y,"HAWK, DANIELLE NICOLE",H2FL03163,H,FL,3,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Danielle Nicole Hawk,Danielle Nicole,Hawk
WMPID3567,1,Y,"WATERS, JUSTIN JAMES MR.",H2FL03189,H,FL,3,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Justin James Waters,Justin James,Waters
WMPID4215,1,Y,"ASENSIO, MANUEL P",H2FL03197,H,FL,3,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Manuel Asensio,Manuel,Asensio
WMPID2521,0,,"ROBINSON, ANDREW PRESTON MR.",H2FL03205,H,FL,3,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Andrew Preston Robinson,Andrew Preston,Robinson
WMPID2842,1,Y,"GARNER-LOPEZ, LEIGHA LUNA",H2FL04146,H,FL,5,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,N,Black,B,A,N,0,Leigha Luna Garner-Lopez,Leigha Luna,Garner-Lopez
WMPID4678,0,,"ROBERTSON, AL",H2FL04153,H,FL,4,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Al Robertson,Al,Robertson
WMPID2801,0,,"KHAN, TONY RAFIQ MR",H2FL04161,H,FL,4,DEM,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Tony Rafiq Khan,Tony Rafiq,Khan
WMPID3737,0,,"DAVIS, ALAN MICHAEL",H2FL04179,H,FL,4,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Alan Michael Davis,Alan Michael,Davis
WMPID2058,0,,"FISCHER, JASON",H2FL04187,H,FL,4,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Jason Fischer,Jason,Fischer
WMPID1803,1,Y,"HILL, ANTHONY TONY",H2FL04195,H,FL,4,DEM,CHALLENGER,6/7/2022,,,,0,F,f,,NULL,NULL,NULL,NULL,NULL,0,Anthony Tony Hill,Anthony Tony,Hill
WMPID2093,1,Y,"MACIE, MARA HEATHER",H2FL04203,H,FL,5,REP,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Mara Heather Macie,Mara Heather,Macie
WMPID1812,1,Y,"BEAN, AARON P.",H2FL04211,H,FL,4,REP,,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Aaron Bean,Aaron,Bean
WMPID2699,1,Y,"CHUBA, JON",H2FL05200,H,FL,4,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Jon Chuba,Jon,Chuba
WMPID3126,0,,"MARC, JONATHAN",H2FL05218,H,FL,5,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Jonathan Marc,Jonathan,Marc
WMPID1867,0,,"CROOMS, CONNELL AUBREY",H2FL05226,H,FL,5,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,Black,B,NULL,NULL,0,Connell Aubrey Crooms,Connell Aubrey,Crooms
WMPID4944,0,,"ROMDCELLY, DAMASCUS",H2FL05242,H,FL,5,REP,,7/21/2022,,,,,UNK,,,,NULL,,,,0,Damascus Romdcelly,Damascus,Romdcelly
WMPID3431,1,Y,"DAVIS, CHARLES EDWARD",H2FL06190,H,FL,6,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Charles Edward Davis,Charles Edward,Davis
WMPID4738,0,,"BELL, MATT",H2FL06208,H,FL,6,DEM,,6/28/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Matt Bell,Matt,Bell
WMPID5083,0,,"HANNOUSH, JOSEPH 'JOE'",H2FL06216,H,FL,6,OTH,,8/26/2022,,,,,M,M,,NULL,NULL,NULL,NULL,NULL,0,Joe Hannoush,Joe,Hannoush
WMPID1838,0,,"LIGGETT, JEREMY",H2FL07149,H,FL,7,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Jeremy Liggett,Jeremy,Liggett
WMPID3614,1,Y,"MILLS, CORY",H2FL07156,H,FL,7,REP,OPEN,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Cory Mills,Cory,Mills
WMPID3389,1,Y,"DUKE, BRADY",H2FL07164,H,FL,7,REP,OPEN,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Brady Duke,Brady,Duke
WMPID4106,0,,"CAVAGNA, JOSEPH",H2FL07172,H,FL,7,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Joseph Cavagna,Joseph,Cavagna
WMPID3738,1,Y,"BENFIELD, ERIKA",H2FL07180,H,FL,7,REP,OPEN,6/7/2022,,,,0,F,F,1,Y,Hispanic/Latino,H,NULL,NULL,0,Erika Benfield,Erika,Benfield
WMPID1583,1,Y,"LE, TUAN A",H2FL07198,H,FL,10,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,Asian/Pacific Islander,AP,NULL,NULL,0,Tuan Le,Tuan,Le
WMPID3609,0,,"MCGOVERN, KEVIN JOHN",H2FL07206,H,FL,15,REP,OPEN,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Kevin John Mcgovern,Kevin John,Mcgovern
WMPID3756,1,Y,"STURGILL, SCOTT",H2FL07214,H,FL,7,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Scott Sturgill,Scott,Sturgill
WMPID1996,0,,"OGILVIE, LEE ALECK",H2FL07222,H,FL,7,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Lee Aleck Ogilvie,Lee Aleck,Ogilvie
WMPID2684,1,Y,"PASTRANA, ALLEK",H2FL07230,H,FL,7,DEM,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Allek Pastrana,Allek,Pastrana
WMPID1625,0,,"STARK, KRISTOPHER L MR.",H2FL07248,H,FL,7,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Kristopher Stark,Kristopher,Stark
WMPID2598,1,Y,"KRULICK, AL MR.",H2FL07255,H,FL,7,DEM,OPEN,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Al Krulick,Al,Krulick
WMPID1633,1,Y,"ROBERTS, RUSSELL L. MR.",H2FL07263,H,FL,7,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Russell Roberts,Russell,Roberts
